iter	Passed	Remaining
406	6586	7978
407	6605	7964
408	6621	7948
409	6638	7933
410	6652	7915
411	6668	7898
412	6685	7882
413	6701	7867
414	6719	7852
415	6734	7834
416	6749	7817
417	6767	7803
418	6784	7787
419	6799	7770
420	6816	7755
421	6831	7737
422	6846	7720
423	6862	7704
424	6877	7687
425	6894	7671
426	6911	7656
427	6927	7639
428	6944	7624
429	6959	7606
430	6974	7589
431	6989	7572
432	7005	7555
433	7021	7539
434	7038	7524
435	7057	7510
436	7071	7491
437	7087	7475
438	7101	7457
439	7117	7441
440	7134	7425
441	7150	7408
442	7165	7392
443	7182	7376
444	7197	7359
445	7213	7342
446	7229	7326
447	7245	7310
448	7263	7295
449	7280	7280
450	7296	7264
451	7311	7246
452	7327	7230
453	7344	7214
454	7360	7199
455	7379	7184
456	7395	7169
457	7412	7153
458	7429	7138
459	7447	7123
460	7466	7110
461	7484	7095
462	7500	7079
463	7515	7061
464	7531	7045
465	7549	7030
466	7564	7013
467	7580	6996
468	7596	6980
469	7612	6964
470	7627	6946
471	7642	6930
472	7658	6913
473	7673	6896
474	7690	6880
475	7704	6862
476	7718	6845
477	7735	6829
478	7752	6813
479	7770	6798
480	7785	6781
481	7800	6765
482	7815	6747
483	7831	6731
484	7847	6714
485	7864	6699
486	7880	6683
487	7895	6666
488	7913	6650
489	7929	6635
490	7945	6618
491	7959	6600
492	7978	6586
493	7994	6570
494	8011	6554
495	8027	6538
496	8043	6521
497	8069	6514
498	8084	6496
499	8100	6480
500	8115	6462
501	8130	6446
502	8146	6429
503	8160	6411
504	8176	6395
505	8192	6379
506	8209	6363
507	8224	6346
508	8239	6329
509	8254	6312
510	8271	6296
511	8289	6281
512	8306	6266
513	8322	6249
514	8341	6235
515	8357	6219
516	8374	6203
517	8391	6187
518	8406	6170
519	8422	6154
520	8438	6138
521	8454	6121
522	8470	6105
523	8487	6090
524	8503	6074
525	8519	6057
526	8537	6042
527	8554	6026
528	8571	6011
529	8586	5994
530	8602	5977
531	8617	5961
532	8633	5944
533	8647	5926
534	8664	5911
535	8682	5896
536	8702	5882
537	8729	5873
538	8752	5861
539	8775	5850
540	8791	5834
541	8808	5817
542	8824	5802
543	8840	5785
544	8855	5768
545	8869	5750
546	8885	5734
547	8902	5718
548	8918	5702
549	8934	5685
550	8951	5669
551	8967	5653
552	8984	5637
553	9000	5621
554	9018	5605
555	9033	5588
556	9048	5572
557	9065	5556
558	9079	5538
559	9094	5521
560	9111	5505
561	9127	5489
562	9141	5471
563	9157	5455
564	9173	5439
565	9188	5422
566	9201	5404
567	9217	5387
568	9233	5371
569	9248	5354
570	9265	5338
571	9280	5321
572	9296	5305
573	9311	5288
574	9327	5272
575	9344	5256
576	9359	5239
577	9375	5222
578	9393	5207
579	9410	5192
580	9430	5177
581	9450	5163
582	9466	5147
583	9482	5130
584	9499	5115
585	9516	5099
586	9534	5083
587	9551	5068
588	9567	5051
589	9585	5036
590	9602	5020
591	9618	5004
592	9634	4987
593	9651	4971
594	9666	4955
595	9681	4938
596	9697	4921
597	9713	4905
598	9729	4889
599	9745	4872
600	9763	4857
601	9778	4840
602	9793	4823
603	9809	4807
604	9825	4790
605	9840	4773
606	9854	4756
607	9869	4739
608	9885	4723
609	9901	4707
610	9914	4689
611	9929	4672
612	9944	4655
613	9961	4640
614	9976	4623
615	9992	4607
616	10009	4590
617	10024	4574
618	10042	4558
619	10060	4543
620	10079	4528
621	10096	4512
622	10114	4497
623	10132	4481
624	10151	4466
625	10170	4451
626	10188	4435
627	10204	4419
628	10222	4404
629	10239	4388
630	10257	4372
631	10275	4357
632	10294	4342
633	10312	4326
634	10329	4310
635	10348	4295
636	10365	4279
637	10383	4264
638	10400	4248
639	10417	4232
640	10435	4216
641	10455	4201
642	10472	4185
643	10489	4169
644	10506	4153
645	10523	4137
646	10540	4121
647	10558	4106
648	10573	4089
649	10589	4073
650	10607	4057
651	10624	4041
652	10640	4024
653	10654	4007
654	10669	3991
655	10684	3974
656	10701	3958
657	10718	3942
658	10736	3926
659	10751	3909
660	10766	3892
661	10783	3876
662	10797	3859
663	10813	3843
664	10830	3827
665	10845	3810
666	10861	3794
667	10877	3777
668	10891	3760
669	10907	3744
670	10925	3728
671	10940	3711
672	10955	3695
673	10973	3679
674	10989	3663
675	11005	3646
676	11023	3631
677	11039	3614
678	11055	3598
679	11070	3581
680	11086	3565
681	11105	3549
682	11120	3533
683	11138	3517
684	11153	3500
685	11171	3484
686	11186	3468
687	11202	3452
688	11219	3436
689	11236	3419
690	11252	3403
691	11268	3386
692	11283	3370
693	11299	3354
694	11315	3337
695	11332	3321
696	11348	3305
697	11364	3288
698	11379	3272
699	11393	3255
700	11409	3238
701	11424	3222
702	11440	3205
703	11454	3189
704	11469	3172
705	11485	3156
706	11501	3139
707	11518	3123
708	11534	3107
709	11553	3091
710	11570	3075
711	11587	3059
712	11607	3044
713	11624	3028
714	11642	3012
715	11661	2996
716	11679	2980
717	11694	2964
718	11711	2948
719	11725	2931
720	11741	2914
721	11757	2898
722	11773	2882
723	11789	2865
724	11805	2849
725	11820	2832
726	11834	2816
