iter	Quantile:alpha=0.9
445	18986.04712
446	18979.59668
447	18968.18118
448	18963.6718
449	18959.91191
450	18953.15008
451	18946.58485
452	18939.39851
453	18935.00934
454	18926.78831
455	18920.31593
456	18903.07966
457	18898.36011
458	18890.56406
459	18880.60858
460	18865.54523
461	18854.1753
462	18847.7825
463	18839.27421
464	18835.22979
465	18825.66193
466	18814.92417
467	18806.11274
468	18798.50791
469	18793.28147
470	18787.5303
471	18780.37793
472	18770.47542
473	18762.54091
474	18754.90396
475	18749.13577
476	18740.95576
477	18736.84529
478	18728.85179
479	18724.03939
480	18718.23147
481	18712.51679
482	18707.29899
483	18700.1596
484	18687.06548
485	18682.88918
486	18675.51248
487	18668.64516
488	18663.88171
489	18659.59962
490	18655.29633
491	18649.87179
492	18645.32811
493	18640.31358
494	18635.96894
495	18630.04669
496	18626.51956
497	18620.89782
498	18606.24404
499	18601.99745
500	18599.84607
501	18595.02208
502	18590.43221
503	18583.94167
504	18579.15816
505	18570.79771
506	18564.51902
507	18563.19954
508	18554.12042
509	18549.73688
510	18544.64859
511	18537.29605
512	18534.52826
513	18526.52038
514	18520.57627
515	18513.87449
516	18507.86962
517	18499.56195
518	18494.10219
519	18488.74325
520	18483.04179
521	18477.50433
522	18471.34935
523	18462.43982
524	18455.63611
525	18448.9554
526	18443.71428
527	18438.56415
528	18433.46888
529	18429.84766
530	18423.10175
531	18418.54693
532	18411.91739
533	18406.29066
534	18400.9764
535	18396.84784
536	18391.12373
537	18386.79982
538	18381.74314
539	18374.50593
540	18371.36038
541	18364.48506
542	18357.34887
543	18350.96168
544	18341.5026
545	18337.95395
546	18333.5959
547	18331.23347
548	18328.18321
549	18321.50621
550	18317.98344
551	18313.98233
552	18305.52932
553	18301.58949
554	18297.91585
555	18292.33154
556	18285.47987
557	18282.53149
558	18272.96638
559	18270.16566
560	18263.77159
561	18257.52686
562	18253.9944
563	18249.14968
564	18244.06122
565	18241.51885
566	18235.15699
567	18229.36335
568	18222.62377
569	18218.85781
570	18211.75266
571	18206.35772
572	18202.35904
573	18196.07149
574	18190.05947
575	18184.33982
576	18179.21516
577	18175.54181
578	18169.25085
579	18164.25195
580	18158.21713
581	18154.98706
582	18148.08602
583	18142.601
584	18139.37213
585	18133.58056
586	18128.61491
587	18124.12412
588	18113.25894
589	18109.89904
590	18106.80183
591	18103.84709
592	18093.6616
593	18085.74982
594	18080.29304
595	18075.17429
596	18068.91141
597	18064.80603
598	18061.66325
599	18056.96057
600	18050.79469
601	18045.68976
602	18043.15449
603	18039.37413
604	18034.87778
605	18030.20234
606	18022.52486
607	18018.62761
608	18015.33857
609	18010.95005
610	18003.8899
611	18001.37254
612	17993.99817
613	17990.32793
614	17987.45124
615	17983.37468
616	17977.00338
617	17973.44541
618	17970.00169
619	17966.50676
620	17961.62739
621	17955.78378
622	17952.93823
623	17948.86175
624	17944.26271
625	17940.78486
626	17936.85183
627	17932.65548
628	17929.46251
629	17920.98302
630	17917.39706
631	17904.44293
632	17899.95843
633	17894.882
634	17891.77419
635	17887.92703
636	17884.30981
637	17878.33333
638	17875.74113
639	17870.81674
640	17867.26619
641	17866.0322
642	17861.65973
643	17860.17464
644	17858.35049
645	17854.03468
646	17848.37858
647	17843.94844
648	17839.76042
649	17837.63212
650	17834.70689
651	17830.87945
652	17825.18953
653	17821.99346
654	17817.72523
655	17814.81714
656	17811.04186
657	17805.58148
658	17802.5537
659	17797.88143
660	17795.46706
661	17792.28584
662	17784.82874
663	17781.5665
664	17778.02145
665	17774.92546
666	17770.49554
667	17762.39057
668	17759.04014
669	17754.91803
670	17750.61739
671	17745.74635
672	17739.62074
673	17735.54533
674	17732.20984
675	17728.56239
676	17723.61646
677	17719.53496
678	17718.04113
679	17710.185
680	17704.66841
681	17701.66678
682	17698.28497
683	17694.14856
684	17688.41884
685	17685.6238
686	17681.72292
687	17678.95286
688	17675.97808
689	17671.79839
690	17668.10713
691	17664.99638
692	17662.55562
693	17658.20558
694	17655.82962
695	17652.22853
696	17649.10454
697	17644.64434
698	17638.23417
699	17634.14789
700	17630.9346
701	17627.11523
702	17621.96421
703	17619.19594
704	17613.89869
705	17611.81256
706	17603.47082
707	17601.34836
708	17599.74183
709	17595.56184
710	17590.74703
711	17588.85287
712	17585.33385
713	17580.43497
714	17577.01873
715	17573.7677
716	17571.96506
717	17566.61969
718	17564.93155
719	17561.71501
720	17559.01228
721	17553.68512
722	17551.06003
723	17548.51394
724	17547.01903
725	17544.99426
726	17539.37373
727	17536.30856
728	17532.66395
729	17529.33947
730	17528.10239
731	17523.18852
732	17519.09052
733	17515.84455
734	17513.45519
735	17508.42346
736	17503.62302
737	17501.05936
738	17495.52723
739	17493.47665
740	17488.34582
741	17483.26418
742	17474.27686
743	17469.8016
744	17467.02604
745	17462.7967
746	17460.44412
747	17455.96434
748	17452.54956
749	17448.25445
750	17443.99867
751	17439.90564
752	17436.64315
753	17433.52293
754	17430.52859
755	17426.70008
756	17424.00375
757	17421.19165
758	17418.83346
759	17416.65647
760	17413.21134
761	17411.63411
762	17407.92974
763	17404.2708
764	17396.49153
765	17393.02316
766	17392.18919
767	17389.75478
768	17386.70952
769	17382.37387
770	17379.60406
771	17375.98077
772	17372.29075
773	17367.85994
774	17363.23161
775	17361.29924
776	17359.77117
777	17356.32893
778	17353.73624
779	17351.23149
780	17345.71722
781	17344.34844
782	17340.65365
783	17338.57271
784	17336.1567
785	17334.34694
786	17329.9316
787	17327.54358
788	17323.74169
789	17321.08177
790	17317.63504
791	17313.14893
792	17310.8064
793	17307.54902
794	17303.27403
795	17300.50627
796	17295.93997
797	17292.62357
798	17288.8072
799	17287.15057
800	17278.71122
801	17275.71832
802	17270.52695
803	17266.91557
804	17263.63068
805	17259.33106
806	17257.03478
807	17255.61676
808	17254.13884
809	17250.5754
810	17247.16315
811	17244.1706
812	17239.0061
813	17236.69196
814	17233.30578
815	17228.91111
816	17225.87209
817	17223.47161
818	17220.55493
819	17216.92998
820	17213.99504
821	17208.43113
822	17203.70483
823	17202.65975
824	17200.64352
825	17196.56172
826	17193.20504
827	17190.23825
828	17188.99709
829	17187.54726
830	17183.86906
831	17182.85604
832	17181.94563
833	17180.27662
834	17177.90149
835	17174.44011
836	17171.76384
837	17169.40521
838	17167.06932
839	17163.12875
840	17161.25219
841	17158.27751
842	17156.17279
843	17152.99223
844	17150.23687
845	17147.28869
846	17143.74094
847	17141.36209
848	17138.01344
849	17136.17238
850	17135.14657
851	17132.96915
852	17131.46292
853	17129.47457
854	17128.54926
855	17125.10492
856	17121.73857
857	17120.35767
858	17118.94255
859	17117.14201
860	17115.34811
861	17112.23647
862	17110.30532
863	17107.19693
864	17104.58253
865	17101.11821
866	17095.24694
867	17093.2087
868	17091.75351
869	17089.9789
870	17086.97918
871	17085.63634
872	17084.06994
873	17082.68507
874	17076.4771
875	17072.36633
876	17071.14723
877	17069.08948
878	17066.30198
879	17061.74249
880	17057.85535
881	17054.9784
882	17051.45465
883	17047.20261
884	17042.45782
885	17038.5172
886	17035.86346
887	17034.10418
888	17029.41192
889	17025.7505
890	17024.72403
891	17021.99345
892	17019.14238
893	17017.7748
894	17013.76851
895	17011.24038
896	17008.47825
897	17006.96415
898	17004.77963
899	17002.64901
